Date,Open,High,Low,Close,Volume,Adj Close
2016-03-03,57.360001,58.400002,56.740002,58.360001,2308000,58.360001
2016-03-02,57.50,58.110001,56.619999,57.66,2063700,57.66
2016-03-01,55.84,57.849998,55.360001,57.849998,3652300,57.849998
2016-02-29,55.25,56.23,54.939999,54.990002,1967300,54.990002
2016-02-26,54.580002,56.200001,54.27,55.509998,2586400,55.509998
2016-02-25,53.110001,55.00,52.77,54.16,2703500,54.16
2016-02-24,52.02,52.75,50.00,52.549999,2689700,52.549999
2016-02-23,54.240002,54.389999,51.450001,53.009998,2872500,53.009998
2016-02-22,55.099998,56.349998,54.25,54.689999,2461100,54.689999
2016-02-19,54.220001,55.619999,54.060001,54.740002,2840100,54.740002
2016-02-18,55.529999,55.84,54.220001,54.259998,3307700,54.259998
2016-02-17,52.50,55.549999,52.310001,55.259998,5309200,55.259998
2016-02-16,50.59,52.259998,49.950001,52.040001,2718900,52.040001
2016-02-12,49.48,50.290001,48.110001,50.080002,2099300,50.080002
2016-02-11,49.279999,49.639999,47.310001,49.029999,2912800,49.029999
2016-02-10,48.669998,51.799999,48.669998,49.990002,3093600,49.990002
2016-02-09,46.599998,49.330002,46.119999,48.52,5618700,48.52
2016-02-08,50.919998,51.119999,46.00,47.139999,6546800,47.139999
2016-02-05,54.119999,55.470001,49.459999,52.310001,7257300,52.310001
2016-02-04,58.849998,60.25,58.389999,58.619999,3647400,58.619999
2016-02-03,57.57,59.439999,56.669998,59.299999,3651700,59.299999
2016-02-02,61.48,61.639999,56.830002,57.25,4793100,57.25
2016-02-01,61.599998,62.830002,61.439999,61.959999,2667300,61.959999
2016-01-29,63.990002,65.510002,60.709999,62.209999,7291000,62.209999
2016-01-28,57.82,64.379997,57.669998,63.57,19775200,63.57
2016-01-27,77.120003,77.599998,74.529999,75.370003,4272200,75.370003
2016-01-26,76.120003,78.190002,75.269997,77.959999,2496800,77.959999
2016-01-25,76.440002,77.160004,75.059998,76.099998,1840700,76.099998
2016-01-22,75.580002,76.760002,75.580002,76.669998,1271000,76.669998
2016-01-21,74.739998,76.110001,73.620003,74.410004,1921800,74.410004
2016-01-20,73.25,75.32,70.139999,74.309998,2111300,74.309998
2016-01-19,77.160004,77.790001,73.669998,74.32,1993100,74.32
2016-01-15,76.120003,77.260002,74.720001,76.339996,1773800,76.339996
2016-01-14,77.230003,78.50,73.910004,78.209999,1511400,78.209999
2016-01-13,81.089996,81.790001,75.489998,76.790001,1889500,76.790001
2016-01-12,79.730003,81.489998,79.730003,80.989998,1665200,80.989998
2016-01-11,78.720001,79.059998,77.199997,78.529999,1113600,78.529999
2016-01-08,80.110001,80.650002,77.889999,78.120003,1219900,78.120003
2016-01-07,79.68,81.650002,78.93,79.639999,1553100,79.639999
2016-01-06,82.879997,83.07,80.699997,81.419998,1418200,81.419998
2016-01-05,84.510002,85.550003,83.470001,84.00,1328700,84.00
2016-01-04,84.980003,85.669998,83.169998,84.07,1273500,84.07
2015-12-31,87.379997,87.610001,85.989998,86.559998,708200,86.559998
2015-12-30,88.199997,88.360001,87.129997,87.379997,692000,87.379997
2015-12-29,87.470001,88.559998,87.360001,88.120003,1121800,88.120003
2015-12-28,86.639999,87.260002,86.290001,86.889999,471600,86.889999
2015-12-24,86.800003,87.360001,86.589996,86.959999,251300,86.959999
2015-12-23,86.970001,87.629997,86.400002,86.889999,920000,86.889999
2015-12-22,87.50,87.550003,86.07,86.480003,1032700,86.480003
2015-12-21,86.93,87.099998,86.120003,87.019997,1456600,87.019997
2015-12-18,87.18,87.82,85.720001,85.730003,3043600,85.730003
2015-12-17,87.510002,88.220001,85.690002,87.269997,1570500,87.269997
2015-12-16,85.989998,87.599998,84.940002,87.389999,1566900,87.389999
2015-12-15,84.029999,86.290001,84.029999,85.599998,1422600,85.599998
2015-12-14,83.470001,84.25,82.120003,83.57,1643500,83.57
2015-12-11,85.970001,87.00,83.169998,83.489998,1901100,83.489998
2015-12-10,86.07,87.879997,85.970001,86.940002,1115300,86.940002
2015-12-09,87.279999,87.660004,85.720001,86.099998,1167200,86.099998
2015-12-08,87.07,88.470001,85.650002,87.720001,1385600,87.720001
2015-12-07,89.529999,89.910004,87.629997,87.980003,1237200,87.980003
2015-12-04,88.099998,91.279999,88.099998,89.989998,1821500,89.989998
2015-12-03,88.32,90.540001,87.559998,88.089996,2277900,88.089996
2015-12-02,87.00,88.900002,86.800003,87.529999,1856300,87.529999
2015-12-01,87.269997,87.419998,86.129997,86.470001,1420600,86.470001
2015-11-30,87.580002,87.580002,86.150002,87.010002,1211300,87.010002
2015-11-27,86.739998,87.739998,86.660004,87.290001,420600,87.290001
2015-11-25,86.669998,87.730003,86.660004,86.889999,665100,86.889999
2015-11-24,85.709999,86.860001,85.150002,86.699997,832100,86.699997
2015-11-23,86.07,87.699997,85.82,86.459999,880100,86.459999
2015-11-20,86.139999,87.209999,85.769997,86.190002,1435500,86.190002
2015-11-19,86.00,86.989998,85.550003,85.75,1600800,85.75
2015-11-18,85.00,85.949997,84.279999,85.75,1968100,85.75
